user_name,is_expert_reviewer,user_level,user_id,skin_types,age_range,is_repurchase,is_recommended,star_effectiveness,star_packaging,star_texture,star_value_for_money,source,created_at,total_likes,is_verified_purchase,details,duration_of_used,product_id,product_name,product_size
deakartini,False,Diva Star,6211e9187b41bf01f4a45278,Kulit Berminyak;Kulit Sensitif;Jerawat;Flek;Pori Besar;Kulit Kusam;Kantung Mata;Dark Circle;Komedo,30 - 34 th,yes,yes,4,5,5,4,review-android,2023-07-17T05:22:03.980Z,0,True,"Teksturnya cream gitu tapi gampang nyerap ke kulit. Gak berbau dan gak ninggalin white cast. Untuk kulit yg berminyak parah, mungkin bikin muka agak sedikit berminyak setelah beberapa jam tapi so far ga parah banget.",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
RachelVictoria,False,Super Star,5fcda680a298674f439acfdd,Kulit Kombinasi,19 - 24 th,yes,yes,4,5,5,5,review-ios,2023-07-16T14:15:23.129Z,0,True,"Teksturnya enak banget! N ga breakout juga pake ini, nyaman dipake daily although krn dia sunscreen jd blm terlalu lihat efektivitas nya banget sih.. cuman ini ga bikin breakout so its a good thing for me!",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
yasminmuchtar,False,Diva Star,6043349565082b651c5939c5,Kulit Kombinasi;Aging;Pori Besar;Kantung Mata;Dark Circle;Komedo,> 40 th,yes,yes,5,5,5,5,review-ios,2023-07-16T13:45:55.558Z,0,True,"kesayangan banget, basic skin carr yg paling wajib dipakai, untuk keluar rumah dan di dalam rumah. tidak menyebabkan oily, buat wajah jadi radiance, gak lengket di wajah. pokoknya kesayangan ❤️",More than 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
PrilisaFita,False,Diva Star,5c1aada73b351a3320bcdd3a,Kulit Normal;Skin Tightening;Kantung Mata,30 - 34 th,yes,yes,5,5,5,5,review-android,2023-07-16T11:21:33.049Z,0,True,finally menemukan sunscreen yg cocok diwajahku yg tipenya kering mengarah oily. gak membuat wajah jadi putih dan efek lidah buaya yg efeknya agak dingin di wajah,1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
SherryLastiany,False,Super Star,6301f44701c3617d393089d0,Kulit Sensitif;Skin Tightening;Jerawat;Aging;Flek;Pori Besar;Kulit Kusam;Kantung Mata;Dark Circle;Komedo,30 - 34 th,yes,yes,5,5,5,5,review-android,2023-07-16T04:09:43.050Z,0,True,"Pencarian sunscreen ku selama bertahun-tahun akhirnya jatuh pada ini 🥲 Tekstur oke banget, lembap tapi ga buat greasy, agak sedikit tone up tapi gpp ditunggu 10mnt an dia menyerap. Buat outdoor sekedar juga cukup oke. Ga perih di muka & di bawah sinar matahari. Mangstap banget recommended! ",3 - 6 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
yastihening,False,Rising Star,5c1ab1d53b351a3320d0e5e5,Kulit Kombinasi;Pori Besar;Komedo,30 - 34 th,yes,yes,5,5,5,5,review-android,2023-07-15T16:20:45.202Z,0,True,"mau ganti sunscreen karena yang sebelummya sedikit gampamg habis dan teksturnya cair. akhirnya dikasi rekomendasi BA, teksturnya ga cair, ga whitecast dan ada aroma aloe veranya samar samar. worth to try karena kesannya ga gampang habis wkwkwk emak emak gamau rugi",1 Week - 1 Month,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
vianysandhi,False,Rising Star,5f353cac2aa6953f509e911d,Kulit Berminyak;Kulit Kombinasi;Kulit Sensitif;Jerawat;Pori Besar;Dark Circle;Komedo,30 - 34 th,yes,yes,5,5,5,5,review-android,2023-07-15T07:55:07.256Z,0,True,suka deh dengan produk ini. so far so good. cocok di kulit wajah aku yg cukup sensitif dan berminyak serta mudah berjerawat. untuk ke depannya bakalan repurchase. insyaAllah. ,1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
Indhls,False,SOCO Star,5d92f110f9a29d0007f95877,Kulit Kombinasi;Kulit Sensitif;Kulit Kusam;Dark Circle;Komedo,19 - 24 th,yes,yes,5,5,5,4,review-android,2023-07-15T06:28:49.325Z,0,True,"akhirnyaaaaa nemu juga suncream yang bener bener cocok di muka. gak bikin kering, gak bikin berminyak juga ya allah hasilnya malah dewy jadi cakep banget ampun aku mau repurchase",1 Week - 1 Month,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
inyoeh,False,Rising Star,5c1ac8ac3b351a332008042e,Kulit Kombinasi;Stretch Mark;Pori Besar;Komedo,25 - 29 th,yes,yes,5,5,4,4,review-ios,2023-07-15T02:03:12.020Z,0,True,"Sempet off pakai sunscreen ini karena waktu itu suka ngegumpal kalau abis pakai moisturizer yang aku pake saat itu. Tapi sekarang setelag ganti moisturizer, balik lagi ke sunscreen cosrx yang ini. ",3 - 6 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
msleeoct,False,Rising Star,5c1ab3393b351a3320d7e446,Kulit Kombinasi;Jerawat;Aging;Kulit Kusam;Dark Circle,25 - 29 th,yes,yes,5,5,5,5,review-ios,2023-07-14T19:04:22.783Z,0,True,"dulu sempat pake ini, terus coba ganti dan balik lagi pake ini. tipe suncream yg enak, dan ringan. kalau diaku sih ada efek dingin gitu pas dipake. enak deh ini pokoknya, one of my fav suncream👌

memang agak pricey sih ya huhu but nevertheless i love all abt this",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
